Year,Month,Total Counts,Classic Bike Count,Electric Bike Count,Docked Bike Count,Electric Scooter Count,Casual User Count,Member User Count
2020,4,84776,NA,NA,84776,NA,23628,61148
,5,200274,NA,NA,200274,NA,86909,113365
,6,343005,NA,NA,343005,NA,154718,188287
,7,551480,NA,1935,549545,NA,269296,282184
,8,622361,NA,66195,556166,NA,289661,332700
,9,532958,NA,128352,404606,NA,230692,302266
,10,388653,NA,152176,236477,NA,145012,243641
,11,259716,NA,108134,151582,NA,88099,171617
,12,131573,70616,47953,13004,NA,30080,101493
2021,1,96834,61700,33028,2106,NA,18117,78717
,2,49622,35012,13339,1271,NA,10131,39491
,3,228496,152545,60294,15657,NA,84033,144463
,4,337230,214619,97897,24714,NA,136601,200629
,5,531633,309093,179187,43353,NA,256916,274717
,6,729595,435020,242859,51716,NA,370681,358914
,7,822410,506909,257803,57698,NA,442056,380354
,8,804352,503033,256254,45065,NA,412671,391681
,9,756147,462284,258526,35337,NA,363890,392257
,10,631226,316139,292203,22884,NA,257242,373984
,11,359978,154039,198325,7614,NA,106929,253049
,12,247540,100635,141977,4928,NA,69738,177802
2022,1,103770,55067,47742,961,NA,18520,85250
,2,115609,59414,54834,1361,NA,21416,94193
,3,284042,134439,141245,8358,NA,89882,194160
,4,371249,166712,192421,12116,NA,126417,244832
,5,634858,324046,284403,26409,NA,280415,354443
,6,769204,406660,331904,30640,NA,369051,400153
,7,823488,373173,419260,31055,NA,406055,417433
,8,785932,344050,415559,26323,NA,358924,427008
,9,701339,306142,375371,19826,NA,296697,404642
,10,558685,213560,332511,12614,NA,208989,349696
,11,337735,144601,187248,5886,NA,100772,236963
,12,181806,73350,106531,1925,NA,44894,136912
2023,1,190301,90294,98269,1738,NA,40008,150293
,2,190445,89888,98362,2195,NA,43016,147429
,3,258678,107083,148575,3020,NA,62201,196477
,4,426590,169738,247965,8887,NA,147285,279305
,5,604827,269895,321840,13092,NA,234181,370646
,6,719618,313546,391098,14974,NA,301230,418388
,7,767650,362130,387096,18424,NA,331358,436292
,8,771693,396961,358775,15957,NA,311130,460563
,9,666371,347372,318999,NA,NA,261635,404736
,10,537113,268363,268750,NA,NA,177071,360042
,11,362518,176157,186361,NA,NA,98392,264126
,12,224073,104584,119489,NA,NA,51672,172401
2024,1,144873,76525,68348,NA,NA,24460,120413
,2,223164,140314,82850,NA,NA,47163,176001
,3,301687,148584,153103,NA,NA,82550,219137
,4,415025,188403,226622,NA,NA,131810,283215
,8,74,50,17,NA,7,56,18
,9,134880,60003,54977,NA,19900,53905,80974
,10,616292,280622,335670,NA,NA,216452,399840
,11,335042,148109,186933,NA,NA,93062,241980
,12,178359,70518,107841,NA,NA,38369,139990